epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8203.2,1.26521,0.94189,1.25144,0.78186,0.70591,0.77687,0.44701,1.21956,1.05005,1.15371,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8457.27,1.25029,0.9189,1.24114,0.77305,0.71196,0.78001,0.44916,1.22838,1.01982,1.15413,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8712.72,1.24793,0.91853,1.24248,0.77018,0.71326,0.78281,0.45384,1.22081,0.93977,1.15268,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8966.72,1.23639,0.89921,1.23441,0.77114,0.71723,0.78431,0.45444,1.22981,0.99124,1.16586,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9222.19,1.22722,0.89456,1.22543,0.7775,0.71068,0.78426,0.45466,1.23247,0.97788,1.16352,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9478.55,1.20413,0.86327,1.21498,0.78072,0.72037,0.78564,0.4523,1.22501,0.95902,1.15867,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9734.05,1.19591,0.85397,1.20754,0.78453,0.71772,0.78385,0.45375,1.2186,0.94593,1.15325,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9990.02,1.18777,0.83819,1.20131,0.78667,0.70619,0.77862,0.45246,1.21876,0.94024,1.15498,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10245.3,1.177,0.82663,1.19632,0.77615,0.72145,0.78152,0.45345,1.22157,0.93661,1.15787,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10501.7,1.19436,0.76986,1.2051,0.7744,0.72339,0.78401,0.45548,1.22699,0.95091,1.15893,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10753.6,1.16569,0.73617,1.18428,0.77094,0.71854,0.77846,0.45319,1.22675,0.97145,1.1639,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11005.9,1.15668,0.72277,1.18265,0.78594,0.71173,0.78208,0.45439,1.22954,0.94958,1.16997,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11259,1.13817,0.70765,1.1736,0.77241,0.72518,0.77939,0.45333,1.22327,0.93906,1.164,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11511.7,1.12477,0.67687,1.15619,0.7716,0.73386,0.77824,0.45495,1.22466,0.93434,1.16619,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11765.4,1.10535,0.67003,1.14748,0.78508,0.72198,0.77947,0.45438,1.22476,0.91865,1.16698,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12018.7,1.09566,0.64906,1.13962,0.78423,0.72965,0.77939,0.45394,1.22701,0.91835,1.17128,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12273.4,1.08273,0.6398,1.13855,0.78651,0.72741,0.77979,0.45531,1.22969,0.91696,1.17426,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12526.8,1.07322,0.62356,1.12452,0.78598,0.72841,0.77881,0.45488,1.23409,0.91207,1.17844,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12779.1,1.05799,0.61297,1.11686,0.79139,0.72294,0.77845,0.45331,1.23518,0.91136,1.17886,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
